List,Card Name,Description,Labels,Members,Due Date
Phase 2,C2.1 Elchi POST /partner/shipments -> order.create,"**Maqsad:** Marketplace buyurtmasini Elchi'ga posilka (shipment) sifatida yuborish.

Partner API'da `POST /partner/shipments` yoziladi — u Elchi'da `order.create` qiladi. Online to'lovda `cod_amount=0` (oldindan to'langan, kuryer pul yig'maydi), COD'da `cod_amount=subtotal`. Idempotent.

**Ishlar:**
- shipment → order.create, cod_amount mantiqi
- idempotent (2x → yangi yo'q) || TEST: TC1 shipment->order+ref+shipment_id; TC2 cod=0->to_be_paid=0; TC3 cod=50000->to_be_paid=50000; TC4 idempotent 2x->yangi yo'q.",Phase 2;Elchi-Integration;Blocker;L,Lead,2026-08-21
Phase 2,C2.2 Elchi get/cancel shipment,"**Maqsad:** Posilkani ko'rish va bekor qilish (Elchi tomon).

`GET /:id` (status/tracking/cod), `POST /cancel`. Yetkazib bo'lingan posilkani bekor qilib bo'lmaydi (409).

**Ishlar:**
- GET shipment, POST cancel
- yetkazilganni cancel → 409 || TEST: TC1 GET status/tracking/cod; TC2 cancel->cancelled; TC3 yetkazilganni cancel->409.",Phase 2;Elchi-Integration;Normal;S,Lead,2026-08-24
Phase 2,C2.3 Elchi outbound webhook,"**Maqsad:** Elchi statusi o'zgarganda marketplace'ga xabar yuborish (outbound webhook).

Status o'zgarishi outbox orqali marketplace webhook manziliga HMAC imzo bilan POST qilinadi. Xatoda backoff bilan qayta urinadi, muvaffaqiyatda takrorlanmaydi (dedup). ""sold"" da yig'ilgan pul (cod_collected) uzatiladi.

**Ishlar:**
- status event → outbox → HMAC POST, backoff retry
- dedup, sold → cod_collected || TEST: TC1 status->POST+X-Elchi-Signature; TC2 500->backoff retry; TC3 2xx->dedup(qayta yo'q); TC4 sold->cod_collected.",Phase 2;Elchi-Integration;Blocker;L,Lead,2026-08-27
Phase 2,C2.4 Marketplace webhook receiver,"**Maqsad:** Elchi'dan kelgan status xabarini marketplace qabul qilib, buyurtmani yangilashi.

Webhook receiver HMAC imzoni tekshiradi, `sales_order_seller` statusini yangilaydi. ""returned"" bo'lsa tovar skladga qaytadi (inbound), ""delivered"" + online bo'lsa payout ishga tushadi. Bir xabar 2 marta kelsa bir marta ishlaydi (idempotent).

**Ishlar:**
- HMAC verify → status mirror
- returned → inbound, delivered+online → payout, idempotent || TEST: TC1 to'g'ri imzo->status yangilanadi; TC2 noto'g'ri imzo 401; TC3 returned->inventory.inbound; TC4 2x event->1 marta(idempotent).",Phase 2;Elchi-Integration;Blocker;M,Lead,2026-08-31
Phase 2,C2.5 Elchi OrderItem.product_id yumshatish,"**Maqsad:** Elchi buyurtmasidagi tovar Elchi katalogiga bog'liq bo'lmasligi.

Elchi shipment item'i faqat nom/miqdorni oladi (`product_id` majburiy emas). Bu Elchi'ning ichki oqimini buzmasligi kerak (regressiya yashil).

**Ishlar:**
- external item (product_id null) → order yaratiladi
- internal oqim buzilmaydi || TEST: TC1 external item(product_id null)->order yaratiladi; TC2 internal oqim regressiya yashil.",Phase 2;Elchi-Integration;Normal;S,Lead,2026-09-01
Phase 2,C2.6 Catalog public endpoints,"**Maqsad:** Xaridorlar uchun ochiq katalog endpointlari.

Ommaviy ro'yxat (filtr/saralash/sahifalash), mahsulot batafsil, do'kon sahifasi. Faqat aktiv narsalar ko'rinadi (draft/suspended yashirin).

**Ishlar:**
- list (filter/sort/pagination), product detail, shop page
- faqat active || TEST: TC1 faqat active(draft ko'rinmaydi); TC2 filter/sort; TC3 suspended shop yashirin.",Phase 2;Backend-Commerce;High;M,Dilshodbek,2026-08-31
Phase 2,C2.7 search-service,"**Maqsad:** Qidiruv xizmatini yaratish.

search-service: indeks, qidiruv + facet (filtr), yangi/o'zgargan mahsulot event bilan qayta indekslanadi.

**Ishlar:**
- index, search + facet
- reindex on event || TEST: TC1 qidiruv relevant; TC2 facet filtr toraytiradi; TC3 yangi mahsulot->indeksga.",Phase 2;Backend-Commerce;High;L,Dilshodbek,2026-09-03
Phase 2,C2.8 cart-service,"**Maqsad:** Savat (cart) xizmatini yaratish.

Savat + item (qo'shish/o'zgartirish/o'chirish), narx snapshot (o'sha paytdagi narx saqlanadi). Anonim va login qilgan xaridor uchun; login qilganda anon savat birlashtiriladi (merge).

**Ishlar:**
- cart + item, narx snapshot
- anon + logged (login'da merge) || TEST: TC1 qo'shish->snapshot; TC2 qty/o'chirish->yangilanadi; TC3 anon savat login'da merge.",Phase 2;Backend-Commerce;High;M,Dilshodbek,2026-09-07
Phase 2,C2.9 checkout.create (split),"**Maqsad:** Buyurtma berish (checkout) va ko'p sotuvchini ajratish.

Savat `shop_id` bo'yicha guruhlanadi → har sotuvchiga alohida sub-buyurtma. Tovar 30 daqiqaga band qilinadi (reserve). Qoldiq yetmasa buyurtma yaratilmaydi (400). Online → `pending_payment`, COD → `draft`.

**Ishlar:**
- shop_id guruh → N sub-order
- reserve (ttl=30daq), qoldiq yetmasa 400 || TEST: TC1 2 do'kon->2 sub-order; TC2 checkout->reserve(band); TC3 qoldiq yetmasa->400 order yo'q; TC4 online=pending_payment/COD=draft.",Phase 2;Backend-Commerce;Blocker;L,Dilshodbek,2026-09-10
Phase 2,C2.10 confirmSalesOrder (COD),"**Maqsad:** COD buyurtmani tasdiqlab, har sotuvchi uchun Elchi posilkasini ochish.

Har sub-buyurtma uchun shipment yaratiladi (`cod=subtotal`), tovar commit qilinadi (qoldiq kamayadi), buyurtma `confirmed` bo'ladi, xabar yuboriladi. Shipment xato bo'lsa hammasi bekor (rollback).

**Ishlar:**
- har seller → shipment, inventory.commit
- confirmed + notify, xatoda rollback || TEST: TC1 confirm->har sub-order shipment; TC2 commit(qoldiq kamayadi)+confirmed; TC3 elchi_shipment_id+notify; TC4 shipment xato->rollback.",Phase 2;Backend-Commerce;Blocker;L,Dilshodbek,2026-09-15
Phase 2,C2.11 Sales order status mirror + returns,"**Maqsad:** Buyurtma statusini Elchi bilan sinxron qilish va qaytishlarni boshqarish.

Elchi webhook → status yangilanadi; ""returned"" → tovar skladga qaytadi; sotuvchi buyurtmalarida haqiqiy status ko'rinadi.

**Ishlar:**
- webhook → status mirror
- returned → inbound, seller orders real status || TEST: TC1 on-road webhook->status; TC2 returned->qoldiq tiklanadi; TC3 seller orders real status.",Phase 2;Backend-Commerce;High;M,Dilshodbek,2026-09-17
Phase 2,C2.12 storefront Next.js setup,"**Maqsad:** Xaridor sayti (storefront) loyihasini boshlash (Next.js).

SSR (serverda render — SEO uchun), layout/SEO/sitemap, API client sozlanadi.

**Ishlar:**
- SSR, layout/SEO/sitemap, API client || TEST: TC1 SSR HTML(view-source); TC2 title/meta bor; TC3 /sitemap.xml ochiladi.",Phase 2;Frontend;High;M,Bahodir,2026-09-02
Phase 2,C2.13 Home + catalog listing (FE),"**Maqsad:** Bosh sahifa va katalog ro'yxati (frontend).

Bosh sahifa + kategoriyalar, mahsulot listing (filtr/saralash/sahifalash SSR bilan), qidiruv.

**Ishlar:**
- bosh + kategoriya, listing (SSR, URL query), qidiruv || TEST: TC1 bosh sahifa yuklanadi; TC2 filter URL query+SSR; TC3 qidiruv natija.",Phase 2;Frontend;Blocker;L,Bahodir,2026-09-07
Phase 2,C2.14 Product detail sahifasi (FE),"**Maqsad:** Mahsulot batafsil sahifasi (frontend).

Rasm galereyasi, variant tanlash (narx/rasm yangilanadi), savatga qo'shish, SEO meta.

**Ishlar:**
- galereya, variant, savatga qo'shish, og/schema meta || TEST: TC1 galereya ochiladi; TC2 variant->narx/rasm yangilanadi; TC3 savatga->son oshadi; TC4 og/schema meta.",Phase 2;Frontend;High;M,Bahodir,2026-09-09
Phase 2,C2.15 Shop storefront sahifasi (FE),"**Maqsad:** Do'kon sahifasi (frontend).

Do'kon header'i, uning mahsulotlari, `/shop/[slug]` route. Noto'g'ri slug → 404.

**Ishlar:**
- shop header + mahsulotlar, slug route (404) || TEST: TC1 /shop/[slug]->sahifa; TC2 noto'g'ri slug 404.",Phase 2;Frontend;Normal;M,Bahodir,2026-09-11
Phase 2,C2.16 Cart sahifasi (FE),"**Maqsad:** Savat sahifasi (frontend).

Ko'p sotuvchi bo'yicha guruhlangan savat, miqdor o'zgartirish/o'chirish, jami hisob.

**Ishlar:**
- sotuvchi bo'yicha guruh, qty/o'chirish, jami || TEST: TC1 2 do'kon->guruhlangan; TC2 qty->jami qayta hisob; TC3 o'chirish->chiqadi.",Phase 2;Frontend;High;M,Bahodir,2026-09-15
Phase 2,C2.17 Checkout sahifasi (FE),"**Maqsad:** Buyurtma rasmiylashtirish sahifasi (frontend).

Manzil (region/tuman), to'lov usuli, har sotuvchi uchun alohida posilka preview, buyurtma berish.

**Ishlar:**
- manzil + to'lov usuli
- per-seller posilka preview, buyurtma → tasdiq || TEST: TC1 manzil to'ldirilmasa bloklanadi; TC2 2 do'kon->2 posilka preview; TC3 to'lov usuli tanlash; TC4 buyurtma->tasdiq sahifa.",Phase 2;Frontend;Blocker;L,Bahodir,2026-09-18
Phase 2,C2.18 Order confirmation + tracking (FE),"**Maqsad:** Buyurtma tasdiqi va kuzatuv sahifasi (frontend).

Tasdiq (raqam + posilkalar), har posilka statusi/tracking.

**Ishlar:**
- tasdiq, posilka status/tracking || TEST: TC1 tasdiq(raqam+posilka); TC2 har posilka status/tracking.",Phase 2;Frontend;Normal;M,Bahodir,2026-09-22
Phase 3,C3.1 payment-service skeleton,"**Maqsad:** To'lov xizmatining poydevorini qurish.

payment-service: `payment`/`transaction`/`provider_config` (AES). `payment.create`. Tashqi URL SSRF-guard bilan himoyalanadi.

**Ishlar:**
- payment/txn/provider_config (AES)
- payment.create, SSRF-guard || TEST: TC1 payment.create->created; TC2 secret AES; TC3 ichki IP->SSRF bloklaydi.",Phase 3;Backend-Commerce;High;M,Dilshodbek,2026-09-21
Phase 3,C3.2 Payme JSON-RPC callback,"**Maqsad:** Payme to'lovini ulash (JSON-RPC).

Payme Merchant API 6 metodi (CheckPerform/Create/Perform/Cancel/CheckTransaction/GetStatement), Basic auth, state → transaction, sandbox'da sinov.

**Ishlar:**
- 6 metod, Basic auth, state → txn
- sandbox test || TEST: TC1 sandbox CheckPerform->Create->Perform->paid; TC2 noto'g'ri summa->-31001; TC3 noto'g'ri auth rad; TC4 Cancel->cancelled; TC5 2x Perform idempotent.",Phase 3;Backend-Commerce;Blocker;L,Dilshodbek,2026-09-24
Phase 3,C3.3 Click Prepare/Complete,"**Maqsad:** Click to'lovini ulash (Prepare/Complete).

Click Prepare + Complete, `sign_string` (md5) tekshiruvi, sandbox'da sinov.

**Ishlar:**
- prepare + complete, md5 sign
- sandbox test || TEST: TC1 sandbox Prepare->Complete->paid; TC2 noto'g'ri sign rad; TC3 summa mos emas rad.",Phase 3;Backend-Commerce;High;M,Lead,2026-09-23
Phase 3,C3.4 payment.paid -> confirmSalesOrder (online),"**Maqsad:** To'lov muvaffaqiyatli bo'lganda buyurtmani avtomat tasdiqlash (online).

`payment.paid` eventida `confirmSalesOrder()` chaqiriladi: shipment (cod=0, prepaid) ochiladi, tovar commit qilinadi. To'lov muvaffaqiyatsiz bo'lsa confirm bo'lmaydi, TTL tovarni bo'shatadi.

**Ishlar:**
- paid → confirm (cod=0 prepaid) + commit
- fail → confirm yo'q, TTL bo'shatadi || TEST: TC1 paid->confirmed+cod=0 prepaid; TC2 to'lov fail->confirm yo'q,TTL bo'shatadi; TC3 commit qoldiq kamayadi.",Phase 3;Backend-Commerce;Blocker;S,Lead,2026-09-25
Phase 3,C3.5 finance-service (escrow->payout),"**Maqsad:** Sotuvchi puli hisob-kitobi (escrow → payout).

finance-service: ledger/payout/commission. ""delivered"" bo'lganda ledger yoziladi va payout tayyorlanadi; komissiya (foiz/fiks) hisoblanadi. Payout ikki marta bajarilmaydi (idempotent); refund teskari yozuv beradi.

**Ishlar:**
- ledger/payout/commission
- delivered → ledger → payout, percent/fixed || TEST: TC1 delivered->sale/commission yozuv,balance; TC2 percent10%+fixed to'g'ri; TC3 payout 2x imkonsiz(idempotent); TC4 refund->teskari yozuv.",Phase 3;Backend-Commerce;Blocker;L,Dilshodbek,2026-09-29
Phase 3,C3.6 Refund flow,"**Maqsad:** Pulni qaytarish (refund) oqimi.

Bekor yoki ""returned"" bo'lganda refund qilinadi (Payme Cancel), tovar skladga qaytadi (inbound), ledger'da refund yozuvi.

**Ishlar:**
- Cancel/returned → refund
- inventory.inbound, ledger refund || TEST: TC1 returned->Payme Cancel->refunded; TC2 refund->qoldiq inbound; TC3 ledger refund,balans kamayadi.",Phase 3;Backend-Commerce;High;M,Lead,2026-09-29
Phase 3,C3.7 Checkout payment integration (FE),"**Maqsad:** To'lovni checkout'ga ulash (frontend).

Payme/Click'ga yo'naltirish (redirect), qaytish (return) callback, holatni ko'rsatish.

**Ishlar:**
- Payme/Click redirect, return callback, holat || TEST: TC1 to'lash->Payme/Click redirect; TC2 qaytish->holat sahifa.",Phase 3;Frontend;High;M,Bahodir,2026-09-24
Phase 3,C3.8 Payment status sahifasi (FE),"**Maqsad:** To'lov holati sahifasi (frontend).

Muvaffaqiyat/xato/kutish holatlari, buyurtmaga qaytish havolasi.

**Ishlar:**
- success/fail/pending, buyurtmaga qaytish || TEST: TC1 muvaffaqiyat->success+havola; TC2 bekor->fail+qayta urinish.",Phase 3;Frontend;Normal;S,Bahodir,2026-09-25
Phase 3,C3.9 Seller finance sahifasi (FE),"**Maqsad:** Sotuvchi moliyasi sahifasi (frontend).

Ledger/balans, payout tarixi, komissiya ko'rinishi.

**Ishlar:**
- ledger/balans, payout tarixi, komissiya || TEST: TC1 ledger+balans backend'ga mos; TC2 payout tarixi+komissiya to'g'ri.",Phase 3;Frontend;Normal;M,Bahodir,2026-09-29
Phase 4,C4.1 Review / rating,"**Maqsad:** Sharh va reyting tizimi.

Faqat yetkazib olingan (delivered) xaridor sharh qoldiradi; sharh do'kon/mahsulot reytingini qayta hisoblaydi; ikki marta sharh mumkin emas. Frontend ham qo'shiladi.

**Ishlar:**
- review (delivered) + rating aggregate + FE || TEST: TC1 faqat delivered egasi sharh; TC2 sharh->rating qayta hisob; TC3 2x sharh rad.",Phase 4;Backend-Commerce;Normal;M,Dilshodbek,2026-10-01
Phase 4,C4.2 Returns / refund UI,"**Maqsad:** Qaytarish/refund interfeysi (frontend).

Xaridor qaytarish so'rovi, sotuvchi/admin ko'radi, status oqimi.

**Ishlar:**
- buyer so'rov, seller/admin ko'rish, status oqimi || TEST: TC1 so'rov->seller/admin ko'radi; TC2 tasdiq->refund oqimi.",Phase 4;Frontend;Normal;M,Bahodir,2026-10-01
Phase 4,C4.3 COD komissiya reconciliation,"**Maqsad:** COD komissiyasini hisob-kitob qilish (reconciliation).

Elchi ""settled"" bo'lganda COD ledger yoziladi, komissiya online payout'dan netting (ushlab qolish) yoki invoys bilan undiriladi, recon hisobotda farq 0 bo'lishi kerak.

**Ishlar:**
- settled → COD ledger
- netting/invoys, recon (farq=0) || TEST: TC1 settled->COD ledger(komissiya-); TC2 netting online payout'dan ushlanadi; TC3 recon farq=0.",Phase 4;Backend-Commerce;High;L,Dilshodbek,2026-10-06
Phase 4,C4.4 Analytics dashboard (admin FE),"**Maqsad:** Admin analitika paneli (frontend).

GMV (umumiy aylanma), buyurtmalar, top mahsulotlar, grafiklar, sana filtri.

**Ishlar:**
- GMV/orders/top + grafiklar + sana filtri || TEST: TC1 GMV backend'ga mos; TC2 top tartib to'g'ri; TC3 sana filtri o'zgartiradi.",Phase 4;Frontend;Normal;M,Bahodir,2026-10-05
Phase 4,C4.5 Admin moderatsiya kengaytmasi,"**Maqsad:** Admin moderatsiyani kengaytirish.

Do'konni to'xtatish (suspend)/qayta yoqish, mahsulot moderatsiyasi, audit log. Suspend bo'lganda mahsulotlar storefront'dan yo'qoladi.

**Ishlar:**
- suspend/reactivate, product moderatsiya, audit log || TEST: TC1 suspend->mahsulotlar storefront'da yo'qoladi; TC2 reactivate->qaytadi; TC3 audit log yoziladi.",Phase 4;Backend-Commerce;Normal;M,Dilshodbek,2026-10-08
Phase 4,C4.6 E2E smoke + deploy + monitoring,"**Maqsad:** To'liq oqimni tekshirish va tizimni ishlab chiqarishga (prod) chiqarish.

E2E smoke test (ro'yxatdan to'lov/payout gacha uzilishsiz), prod deploy + domen + TLS (HTTPS), monitoring/alert, DB backup+restore.

**Ishlar:**
- E2E smoke, prod deploy + TLS
- monitoring/alert, backup+restore || TEST: TC1 E2E register->...->payout uzilishsiz; TC2 prod HTTPS(TLS); TC3 servis yiqilsa alert+log; TC4 DB backup+restore.",Phase 4;DevOps;Blocker;M,Lead,2026-10-12
